FLD/000: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/001: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/010: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/011: mats  19, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/020: mats   5, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/021: mats   4, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/030: mats   4, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/031: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/002: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/003: mats   4, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/012: mats  27, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/013: mats 138, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/022: mats  37, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/023: mats  18, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/032: mats   3, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/033: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/100: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/101: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/110: mats  24, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/111: mats  25, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/120: mats  28, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/121: mats  10, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/130: mats   4, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/131: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/102: mats  13, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/103: mats  58, image mismatch   1, palette mismatch   0, missing image  0, clut  0
FLD/112: mats  11, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/113: mats  90, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/122: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/123: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/132: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/133: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/200: mats   9, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/201: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/210: mats  45, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/211: mats  13, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/220: mats  42, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/221: mats  33, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/230: mats   3, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/231: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/202: mats  19, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/203: mats  77, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/212: mats  28, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/213: mats  56, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/222: mats  21, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/223: mats 135, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/232: mats  19, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/233: mats  85, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/300: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/301: mats   9, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/310: mats  10, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/311: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/320: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/321: mats   6, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/330: mats   5, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/331: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/302: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/303: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/312: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/313: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/322: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/323: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/332: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
FLD/333: mats   1, image mismatch   0, palette mismatch   0, missing image  0, clut  0
TOTAL materials=1164 imageMismatch=1 paletteMismatch=0 missingImage=0 missingClut=0 unsupported=0
Mismatch fields: 103
